Ring Name,Real Name,Notes
,,
Shahid Khan[7],Shahid Khan,Co-ownerLead investor[8]
Tony Khan[9],Antony Khan,FounderCo-ownerPresident[10]Chief Executive OfficerGeneral Manager[11]Executive Producer[12][13]
,,
AR Fox[14],Thomas Ballester,
Aaron Solo,Aaron Solow,
Action Andretti[15],Tyler Andretti,
Adam Cole[16],Austin Jenkins,
Adam Copeland[17],Adam Copeland,
Alex Reynolds[18],Alex Zikos[19],
Angelo Parker[20],Jeffrey Parker,
Angélico[21],Adam Bridle,Spanish-language commentator
Anthony Bowens[22],Anthony Bowens,World Trios Champion
Anthony Ogogo[23],Anthony Ogogo,
Ari Daivari,Ariya Daivari,Coach[24][25]
Austin Gunn[26],Austin Sopp,
Bandido[27],Undisclosed[Note 1],Inactive; wrist injury
Big Bill[28],William Morrissey,World Tag Team Champion[29]
Billy Gunn[30],Monty Sopp,World Trios ChampionCoach
Bishop Kaun,Jasper Kange,ROH World Six-Man Tag Team Champion
The Blade,Jesse Guilmette,
Blake Christian[31],Christian Hubble,
Boulder,Thomas Wansaw Jr.,
Brandon Cutler,Brandon Bogle,Executive content producer[32]
Brian Cage[33],Brian Button,ROH World Six-Man Tag Team Champion
Brody King[34],Nathan Blauvelt,
Bronson[35],Joseph Fitzpatrick,
Bryan Danielson[36],Bryan Danielson,ROH Hall of Famer
Buddy Matthews[37],Matthew Adams,
The Butcher,Andrew Williams,
Cash Wheeler[38],Daniel Wheeler,
Chris Jericho[39][40],Christopher Irvine,ProducerCreative advisor[41]
Christian Cage[42],William Reso,TNT Champion
Christopher Daniels[43],Daniel Covell,Head of Talent RelationsCoach[44][45][46][47]
Chuck Taylor[48],Dustin Howard,Inactive; foot injury[49]
Claudio Castagnoli,Claudio Castagnoli,
Cole Karter[50],Cole McKinney,
Colt Cabana[51],Scott Colton,Coach[52]
Colten Gunn,Colten Sopp,
Danhausen[53],Donovan Danhausen,
Daniel Garcia[54],Daniel Garcia,
Dante Martin[55],Dante Martin,
Darby Allin[56],Samuel Ratsch,
Darius Martin[55],Darius Martin,
Dax Harwood[38],David Harwood,
Dralístico[57],Carlos Muñoz González,
Dustin Rhodes[58][59],Dustin Runnels,Coach[60]
Dutch[61],William Carr,
Eddie Kingston[62],Edward Moore,"Triple Crown Champion(Continental, ROH World, and NJPW Strong Openweight)"
E. J. Nduka[63],Ezekwesiri Nduka Jr.,
Ethan Page[64],Julian Micevski,
Evil Uno[65],Nicolas Dansereau,
Griff Garrison[66],Garrett Griffith,
"""Hangman"" Adam Page[39][67]",Stephen Woltz,
Hook[68],Tyler Senerchia,FTW Champion
Isiah Kassidy[69],Isiah Kassidy,
Jack Perry[70],Jack Perry,Inactive
Jake Hager[71],Donald Hager Jr.,
Jay Lethal[72],Jamar Shipman,
Jay White[73],Jamie White,
Jeff Hardy[74],Jeffrey Hardy,
Jeff Jarrett,Jeffrey Jarrett,Director of Business Development[75]
John Silver[18],John Silver,
Johnny TV[76],John Hennigan,
Jon Moxley[77],Jonathan Good,
Josh Woods[78],Joshua Woods,
Juice Robinson,Joseph Robinson,Inactive; back surgery[79]
Katsuyori Shibata,Katsuyori Shibata,
Keith Lee[80],Keith Lee,
Kenny Omega[81],Tyson Smith,Executive Vice President[82]Inactive; diverticulitis[83]
Killswitch[84],Austin Matelson,
Kip Sabian[85],Simon Kippen,
Komander[86],Undisclosed[Note 1],AAA World Cruiserweight Champion[87]
